Epoch 417, Loss G: -4.7861,Loss D: -0.5881
Epoch 418, Loss G: -4.4522,Loss D: -0.5300
Epoch 419, Loss G: -4.6911,Loss D: -0.6515
Epoch 420, Loss G: -4.5342,Loss D: -0.1336
Epoch 421, Loss G: -4.7713,Loss D: -0.0969
Epoch 422, Loss G: -4.5635,Loss D: -0.3180
Epoch 423, Loss G: -4.7909,Loss D: -0.5787
Epoch 424, Loss G: -4.8803,Loss D:  0.0869
Epoch 425, Loss G: -4.8661,Loss D:  0.1730
Epoch 426, Loss G: -5.1602,Loss D:  0.2519
Epoch 427, Loss G: -5.0485,Loss D:  0.5748
Epoch 428, Loss G: -5.3318,Loss D: -0.0462
Epoch 429, Loss G: -5.5856,Loss D:  0.0732
Epoch 430, Loss G: -5.4791,Loss D:  0.0607
Epoch 431, Loss G: -5.7096,Loss D:  0.0003
Epoch 432, Loss G: -6.0067,Loss D: -0.0226
Epoch 433, Loss G: -5.9484,Loss D: -0.0127
Epoch 434, Loss G: -6.0430,Loss D:  0.0128
Epoch 435, Loss G: -5.8090,Loss D: -0.2593
Epoch 436, Loss G: -5.7409,Loss D: -0.0593
Epoch 437, Loss G: -6.0587,Loss D: -0.1648
Epoch 438, Loss G: -5.6350,Loss D: -0.0076
Epoch 439, Loss G: -5.7406,Loss D: -0.1304
Epoch 440, Loss G: -5.6655,Loss D: -0.4028
Epoch 441, Loss G: -5.4081,Loss D: -0.1406
Epoch 442, Loss G: -5.6036,Loss D: -0.4700
Epoch 443, Loss G: -5.4934,Loss D: -0.0086
Epoch 444, Loss G: -5.6197,Loss D: -0.0847
Epoch 445, Loss G: -5.9179,Loss D: -0.2751
Epoch 446, Loss G: -5.8945,Loss D: -0.1686
Epoch 447, Loss G: -5.8242,Loss D:  0.1062
Epoch 448, Loss G: -5.9509,Loss D: -0.0824
Epoch 449, Loss G: -5.7846,Loss D:  0.1425
Epoch 450, Loss G: -6.1271,Loss D:  0.8423
Epoch 451, Loss G: -5.9153,Loss D:  0.3411
Epoch 452, Loss G: -6.1340,Loss D:  0.8270
Epoch 453, Loss G: -5.9094,Loss D:  0.1307
Epoch 454, Loss G: -5.6173,Loss D:  0.4704
Epoch 455, Loss G: -5.4186,Loss D:  0.2917
Epoch 456, Loss G: -5.2633,Loss D: -0.1412
Epoch 457, Loss G: -5.1000,Loss D: -0.3368
Epoch 458, Loss G: -4.9098,Loss D: -0.1075
Epoch 459, Loss G: -4.8748,Loss D:  0.2543
Epoch 460, Loss G: -4.4145,Loss D: -0.4916
Epoch 461, Loss G: -4.6557,Loss D: -0.5403
Epoch 462, Loss G: -4.1676,Loss D: -1.0115
Epoch 463, Loss G: -4.4418,Loss D:  0.1388
Epoch 464, Loss G: -4.7592,Loss D: -0.5704
Epoch 465, Loss G: -4.9946,Loss D:  0.2618
Epoch 466, Loss G: -4.9339,Loss D: -0.2589
Epoch 467, Loss G: -5.0200,Loss D:  0.1521
Epoch 468, Loss G: -5.1892,Loss D:  0.1287
Epoch 469, Loss G: -5.3830,Loss D:  0.0321
Epoch 470, Loss G: -5.3963,Loss D:  0.1857
Epoch 471, Loss G: -5.2008,Loss D:  0.4186
Epoch 472, Loss G: -5.4606,Loss D:  0.0177
Epoch 473, Loss G: -5.5123,Loss D: -0.3104
Epoch 474, Loss G: -5.1728,Loss D: -0.1008
Epoch 475, Loss G: -5.3444,Loss D: -0.4767
Epoch 476, Loss G: -5.7390,Loss D: -0.6779
Epoch 477, Loss G: -5.3690,Loss D: -0.7455
Epoch 478, Loss G: -5.7204,Loss D:  0.3439
Epoch 479, Loss G: -5.4308,Loss D:  0.1414
Epoch 480, Loss G: -5.2565,Loss D:  0.1931
Epoch 481, Loss G: -5.4012,Loss D:  0.3549
Epoch 482, Loss G: -5.5234,Loss D:  0.1685
